emp_no,first_name,last_name,from_date,to_date,title
10832,Hidde,Bergere,1986-10-11,9999-01-01,Senior Staff
10839,Gurbir,Katiyar,1996-12-30,9999-01-01,Assistant Engineer
10853,Yoshinari,Kalloufi,1993-05-03,9999-01-01,Technique Leader
10863,Byong,Bhattacharjee,1985-12-25,9999-01-01,Engineer
10877,Subir,Biron,1986-06-06,9999-01-01,Senior Staff
10880,Weiye,Nitsche,1992-01-11,9999-01-01,Engineer
10886,Sushant,Begiun,1995-03-26,9999-01-01,Engineer
10890,Ramzi,Furudate,1990-03-10,9999-01-01,Senior Staff
10891,Susanne,Jiang,1995-10-06,9999-01-01,Assistant Engineer
10896,Adil,Taubenfeld,1997-11-27,9999-01-01,Engineer
10899,Valery,Rousseau,1990-04-05,9999-01-01,Senior Staff
10907,JiYoung,Luks,1988-12-25,9999-01-01,Senior Staff
10916,Make,Spataro,1998-10-02,9999-01-01,Engineer
10933,Juyoung,Seghrouchni,1993-08-02,9999-01-01,Senior Engineer
10937,Anyuan,Nanard,1991-05-03,9999-01-01,Engineer
10939,Matk,Akazan,1997-12-11,9999-01-01,Assistant Engineer
10951,Marco,Iisaku,1989-07-06,9999-01-01,Senior Staff
10954,Ranga,Burnard,1995-12-14,9999-01-01,Staff
10964,Takushi,Bolsens,1991-05-05,9999-01-01,Senior Staff
10966,Danel,Pardalos,1999-11-12,9999-01-01,Staff
10967,Eran,Adachi,1993-08-01,9999-01-01,Engineer
10970,Gen,Tiemann,1995-11-14,9999-01-01,Engineer
10975,Peternela,Birnbaum,1997-01-14,9999-01-01,Engineer
10976,Hitomi,Valette,1998-10-31,9999-01-01,Technique Leader
10978,Huiqun,Bellone,1985-05-18,9999-01-01,Engineer
10980,Filipp,Munawer,1989-01-04,9999-01-01,Engineer
10982,Yishay,Decleir,1989-11-11,9999-01-01,Senior Staff
10995,Chenye,Hertweck,1997-07-19,9999-01-01,Senior Staff
11007,Olivera,Maccarone,1996-10-15,9999-01-01,Engineer
11010,Jaques,Narwekar,1986-12-18,9999-01-01,Senior Staff
11022,Apostol,Pintelas,1993-10-18,9999-01-01,Senior Staff
11023,Yifei,Driscoll,1990-06-12,9999-01-01,Senior Staff
11029,Georgi,Itzfeldt,1992-12-27,9999-01-01,Senior Staff
11035,Bangqing,Atrawala,1998-07-26,9999-01-01,Staff
11036,Muzhong,Greenaway,1988-10-24,9999-01-01,Senior Staff
11041,Stamatina,Matheson,1998-01-29,9999-01-01,Senior Engineer
11049,Gift,Apsitis,1995-05-12,9999-01-01,Senior Staff
11058,Shigeaki,Cyre,1985-06-07,9999-01-01,Senior Staff
11059,Shawna,Jarecki,1986-11-17,9999-01-01,Engineer
11074,Spyrose,Peak,1995-06-15,9999-01-01,Senior Staff
11076,Youssef,Schaad,1999-09-17,9999-01-01,Engineer
11096,Shugo,Zallocco,1994-06-08,9999-01-01,Senior Engineer
11108,Danae,Grabner,1992-06-12,9999-01-01,Senior Staff
11109,Chinho,Stamatiou,1985-03-29,9999-01-01,Senior Staff
11122,Aleksandar,Randi,1995-10-15,9999-01-01,Senior Staff
11124,Gladys,Porenta,1990-04-16,9999-01-01,Senior Staff
11136,Gladys,Luiz,1990-12-06,9999-01-01,Engineer
11142,Moheb,Raney,1993-11-04,9999-01-01,Engineer
11149,Domenico,Imataki,1987-08-26,9999-01-01,Senior Staff
11172,Kristian,Sudkamp,2000-06-20,9999-01-01,Senior Staff
11175,Aksel,Rajaraman,1996-11-29,9999-01-01,Engineer
11182,Tze,Steinauer,1994-12-06,9999-01-01,Engineer
11191,Pradeep,Crooks,1991-12-14,9999-01-01,Senior Staff
11193,Val,Kumaresan,1998-01-28,9999-01-01,Senior Staff
11198,Leif,Gini,1988-02-07,9999-01-01,Senior Staff
11200,Renny,Junet,1995-04-08,9999-01-01,Technique Leader
11202,Marek,Ranon,1996-02-26,9999-01-01,Senior Staff
11205,Tayeb,Ebeling,1995-11-09,9999-01-01,Staff
11209,Xuejun,Penn,2000-02-08,9999-01-01,Engineer
11216,Utz,Perng,1999-05-03,9999-01-01,Technique Leader
11220,Sahrah,Figueira,1995-10-27,9999-01-01,Staff
11225,Maria,Schicker,1996-10-17,9999-01-01,Senior Engineer
11235,Larisa,Schueller,1998-11-09,9999-01-01,Senior Engineer
11236,Marek,Orlowska,1995-03-23,9999-01-01,Engineer
11238,Kwan,Chenoweth,1999-02-14,9999-01-01,Senior Engineer
11246,Maik,Reinhart,1998-06-03,9999-01-01,Engineer
11260,Ingemar,Schade,1996-05-16,9999-01-01,Staff
11261,Claudi,Demri,1987-12-06,9999-01-01,Engineer
11262,Bokyung,Melski,1994-04-30,9999-01-01,Senior Staff
11264,Uma,Oehlmann,1986-10-09,9999-01-01,Engineer
11269,Garnik,Slutz,1997-05-30,9999-01-01,Staff
11270,Gina,Falster,1989-09-04,9999-01-01,Senior Staff
11282,Josyula,Schaad,1997-06-09,9999-01-01,Staff
11283,Shmuel,Codenie,1987-06-30,9999-01-01,Senior Staff
11285,Randy,Koshino,1999-11-23,9999-01-01,Staff
11286,Joydip,Gini,1988-02-16,9999-01-01,Senior Staff
11287,Sreenivas,Farrag,1987-08-12,9999-01-01,Senior Staff
11307,Mohd,Dratva,1995-04-30,9999-01-01,Senior Staff
11309,Caolyn,Ranai,1999-01-26,9999-01-01,Staff
11313,Paraskevi,Kusalik,1986-02-28,9999-01-01,Senior Staff
11316,Ult,Farrar,1997-07-18,9999-01-01,Assistant Engineer
11318,Gopalakrishnan,Unno,1986-01-25,9999-01-01,Senior Staff
11345,Youngkon,Maierhofer,1998-11-25,9999-01-01,Engineer
11346,Jungsoon,Fiebach,1992-06-11,9999-01-01,Senior Staff
11348,Vishu,Kroll,1991-10-02,9999-01-01,Senior Staff
11355,Shim,Gecsei,1999-11-30,9999-01-01,Technique Leader
11361,Zhonghui,Birdsall,1997-01-31,9999-01-01,Engineer
11362,Tooru,Hockney,1987-10-29,9999-01-01,Engineer
11363,Jenwei,Milicia,1986-03-16,9999-01-01,Senior Staff
11367,Christophe,Slobodova,1999-11-04,9999-01-01,Staff
11382,Akemi,Otillio,1991-06-04,9999-01-01,Engineer
11383,Billur,Herbst,1999-11-26,9999-01-01,Staff
11384,Jaana,Veccia,1994-06-03,9999-01-01,Senior Staff
11391,Jouko,Antonakopoulos,1994-10-14,9999-01-01,Engineer
11394,Masadi,Uhrik,1988-12-20,9999-01-01,Senior Staff
11397,Fumiya,Kisuki,1992-12-12,9999-01-01,Technique Leader
11407,Thanasis,Thebaut,1991-05-06,9999-01-01,Senior Staff
11411,Shigehito,Giaccio,1992-05-17,9999-01-01,Senior Staff
11412,Werner,Demeyer,1996-02-02,9999-01-01,Senior Staff
11424,Lein,Sudkamp,1991-02-14,9999-01-01,Senior Staff
11427,Haldun,Iisaka,1999-08-04,9999-01-01,Senior Staff
11435,Utpal,Lichtman,1986-10-15,9999-01-01,Senior Staff
11440,Lubomir,Jahnichen,1994-03-03,9999-01-01,Engineer
11443,Szabolcs,Nivat,1989-08-15,9999-01-01,Senior Staff
11444,Sangeeta,Leuchs,1992-01-01,9999-01-01,Engineer
11453,Fei,Lakshmanan,1990-07-13,9999-01-01,Technique Leader
11464,Boutros,Simkin,1992-05-30,9999-01-01,Assistant Engineer
11466,Naftali,Koshino,1989-07-02,9999-01-01,Engineer
11470,Khalid,Michaels,1999-08-10,9999-01-01,Engineer
11478,Nidapan,Ginneken,1999-09-10,9999-01-01,Senior Staff
11482,Uri,Deverell,1991-04-03,9999-01-01,Senior Staff
11486,Itzchak,Ramaiah,1985-05-31,9999-01-01,Senior Staff
11487,Arumugam,Cairo,1997-10-14,9999-01-01,Engineer
11488,Houman,Veldwijk,1987-08-25,9999-01-01,Engineer
11489,Sandeepan,Yeung,1991-03-24,9999-01-01,Senior Staff
11492,Menkae,Mikschl,1994-05-22,9999-01-01,Engineer
11495,Shin,Barriga,1989-09-13,9999-01-01,Senior Staff
11496,Toshimo,Marakhovsky,1992-07-09,9999-01-01,Assistant Engineer
11504,Saeed,Ananiadou,1990-09-30,9999-01-01,Engineer
11505,Shietung,Billingsley,1996-11-15,9999-01-01,Engineer
11511,Arlette,Mikschl,1997-05-28,9999-01-01,Assistant Engineer
11512,Nidapan,Hagimont,1987-09-01,9999-01-01,Engineer
11514,Georgy,Iwayama,1990-05-14,9999-01-01,Engineer
11544,Elzbieta,Thimonier,1996-10-22,9999-01-01,Senior Staff
11545,Bartek,Lieblein,1986-09-19,9999-01-01,Senior Engineer
11546,Duro,Vuskovic,1987-06-30,9999-01-01,Senior Staff
11550,Divine,Georgakopoulos,1997-12-16,9999-01-01,Engineer
11551,Subhrajyoti,Gonthier,1986-05-09,9999-01-01,Senior Engineer
11565,Yoshinari,Sankaranarayanan,1988-02-03,9999-01-01,Engineer
11566,Martina,Quittner,1995-01-09,9999-01-01,Engineer
11579,Jinxi,Merel,1997-05-25,9999-01-01,Staff
11586,Shridhar,Orsini,1997-09-09,9999-01-01,Staff
11593,Eckart,Gunderson,1999-03-09,9999-01-01,Engineer
11594,Pradeep,Butner,1994-12-04,9999-01-01,Senior Staff
11598,Sariel,Ertl,1994-04-02,9999-01-01,Engineer
11604,Deborah,Baar,1990-12-11,9999-01-01,Engineer
11610,Eirik,Sidhu,1985-10-18,9999-01-01,Engineer
11612,Siamak,Baar,1990-12-10,9999-01-01,Engineer
11618,Gian,Juneja,2001-08-13,9999-01-01,Staff
11622,Moon,Ginneken,1992-05-11,9999-01-01,Engineer
11623,Becky,Jullig,1990-03-05,9999-01-01,Engineer
11627,Zeljko,Schreiter,1998-10-31,9999-01-01,Engineer
11629,Miquel,Muhlberg,1994-12-16,9999-01-01,Staff
11635,Nalini,Mahnke,1989-10-13,9999-01-01,Engineer
11638,JoAnne,Falco,1996-01-17,9999-01-01,Engineer
11639,Khatoun,Herath,1987-02-18,9999-01-01,Engineer
11653,Mohammed,Ananiadou,1993-02-26,9999-01-01,Engineer
11655,Gift,Broomell,1991-09-23,9999-01-01,Engineer
11656,Aimee,Muniz,1999-01-25,9999-01-01,Staff
11661,Candida,Moffat,1995-08-24,9999-01-01,Engineer
11662,Mokhtar,Hofting,1991-02-16,9999-01-01,Senior Staff
11670,Evgueni,Kroon,1985-05-17,9999-01-01,Senior Staff
11682,Dante,Zumaque,1986-11-27,9999-01-01,Senior Staff
11687,Owen,Peak,1992-03-22,9999-01-01,Senior Engineer
11694,Stamatina,Ozery,1989-03-31,9999-01-01,Senior Staff
11704,Naftali,Baalen,1999-04-04,9999-01-01,Engineer
11707,Tooru,Hettesheimer,1994-04-07,9999-01-01,Engineer
11716,Anneli,Leijenhorst,1989-05-09,9999-01-01,Engineer
11723,Halsur,Bauknecht,1998-05-18,9999-01-01,Senior Staff
11734,Ramya,Baezner,1998-08-09,9999-01-01,Staff
11740,Isaac,Pero,1990-01-19,9999-01-01,Senior Staff
11741,Valeri,Vigier,1989-02-04,9999-01-01,Senior Staff
11745,Janche,Bahi,1999-12-12,9999-01-01,Staff
11752,Bingning,Etalle,1992-11-10,9999-01-01,Senior Staff
11753,Fayez,Nishimukai,1991-05-01,9999-01-01,Senior Staff
11757,Jackson,Meriste,1987-04-07,9999-01-01,Senior Engineer
11759,Feixiong,Cincotta,1996-12-01,9999-01-01,Assistant Engineer
11761,Bartek,Aamodt,1991-06-12,9999-01-01,Senior Staff
11766,Nimmagadda,Berztiss,1987-10-27,9999-01-01,Engineer
11768,Krassimir,Erol,1991-04-25,9999-01-01,Assistant Engineer
11775,Sajjad,Xiaoshan,1988-11-15,9999-01-01,Engineer
11777,Mayumi,Cooley,1994-06-21,9999-01-01,Senior Staff
11780,Sugwoo,Sewelson,1999-11-10,9999-01-01,Engineer
11781,Tua,Pluym,1997-12-04,9999-01-01,Staff
11782,Tesuro,Lanzelotte,1991-02-01,9999-01-01,Technique Leader
11786,Sarita,Birch,1996-02-28,9999-01-01,Staff
11788,Georgy,Gopalakrishnan,1999-02-12,9999-01-01,Technique Leader
11789,Udi,Khasidashvili,1989-08-18,9999-01-01,Senior Staff
11794,Atreye,Ghandeharizadeh,1992-09-04,9999-01-01,Engineer
11796,Sachem,Egerstedt,1989-01-23,9999-01-01,Senior Staff
11798,Kwan,Quaggetto,1987-12-10,9999-01-01,Senior Staff
11799,Duro,Silva,1996-03-06,9999-01-01,Assistant Engineer
11806,Shan,Leivant,1996-04-02,9999-01-01,Engineer
11808,Morrie,Rosiles,1986-05-17,9999-01-01,Engineer
11815,Akemi,Sommen,1995-05-03,9999-01-01,Technique Leader
11816,Masako,Besselaar,1991-08-05,9999-01-01,Senior Staff
11826,Carrsten,Rotem,1988-07-06,9999-01-01,Engineer
11831,Udaiprakash,Billingsley,1998-01-27,9999-01-01,Engineer
11833,Yolla,Levasseur,1999-07-15,9999-01-01,Staff
11834,Mana,Wegerle,1995-02-05,9999-01-01,Technique Leader
11839,Navid,Falck,1990-12-14,9999-01-01,Engineer
11840,Jayson,Hofman,1986-12-21,9999-01-01,Senior Staff
11850,Bikash,Maginnis,1991-02-10,9999-01-01,Senior Staff
11852,Zhongwei,Yurek,1995-01-22,9999-01-01,Staff
11856,Gao,Alpin,1989-05-23,9999-01-01,Engineer
11858,Slavian,Baik,1996-08-15,9999-01-01,Staff
11861,Vincent,Claffy,1990-05-28,9999-01-01,Assistant Engineer
11863,Stella,Peng,1988-12-16,9999-01-01,Engineer
11884,Patricia,Moehrke,1998-06-18,9999-01-01,Senior Staff
11885,Sandeepan,Velasco,1997-01-12,9999-01-01,Technique Leader
11898,Jinya,Piveteau,1996-12-01,9999-01-01,Engineer
11901,Baoqiu,Plumb,1992-08-01,9999-01-01,Senior Staff
11904,DeForest,Flasterstein,1998-05-12,9999-01-01,Staff
11912,Kristian,Giaccio,1994-10-06,9999-01-01,Senior Engineer
11924,Hirochika,Worfolk,1997-01-09,9999-01-01,Engineer
11953,Moheb,Baar,1996-03-21,9999-01-01,Staff
11955,Domenico,Eastman,1995-04-25,9999-01-01,Senior Engineer
11968,Mitchel,Dayang,1995-08-08,9999-01-01,Engineer
11974,Vojin,Sabnani,1989-07-23,9999-01-01,Senior Staff
11979,Abdulah,Akazan,1998-06-07,9999-01-01,Staff
11981,LiMin,Horswill,1990-09-14,9999-01-01,Engineer
11984,Vasilii,Luit,1997-05-22,9999-01-01,Senior Engineer
11986,Reinhard,Azuma,1991-08-06,9999-01-01,Senior Staff
11990,Chanjung,Matheson,1988-09-05,9999-01-01,Engineer
12004,Lucien,Schlenzig,1997-01-11,9999-01-01,Technique Leader
12006,Remco,Erol,1998-05-08,9999-01-01,Engineer
12009,Sariel,Stifter,1998-09-22,9999-01-01,Assistant Engineer
12014,Apostol,Lunt,1988-10-11,9999-01-01,Engineer
12019,Mads,Ossenbruggen,1986-02-17,9999-01-01,Senior Staff
12027,Zhanqiu,Vuskovic,1992-01-05,9999-01-01,Technique Leader
12031,Achilleas,Vendrig,1987-02-10,9999-01-01,Senior Engineer
12039,Kazuhide,Junet,1988-04-04,9999-01-01,Senior Staff
12045,Mototsugu,Boguraev,1991-03-03,9999-01-01,Engineer
12056,Nirmal,Genther,1988-06-02,9999-01-01,Senior Engineer
12057,Vishv,Speckmann,1990-09-22,9999-01-01,Senior Staff
12058,Qunsheng,Khamsi,1991-08-06,9999-01-01,Engineer
12064,Heping,Silva,1986-03-14,9999-01-01,Assistant Engineer
12065,Moto,Roohalamini,1987-06-18,9999-01-01,Engineer
12066,Junichi,Deville,1985-09-20,9999-01-01,Senior Staff
12067,Doowon,Kalsbeek,1991-12-17,9999-01-01,Senior Staff
12072,Rosalie,Larfeldt,1990-12-17,9999-01-01,Engineer
12084,Morris,Krohm,1997-01-01,9999-01-01,Engineer
12085,Hugh,Rouquie,1986-07-03,9999-01-01,Senior Staff
12096,Weiwu,Schlenzig,1994-08-17,9999-01-01,Senior Staff
12107,Manibrata,Antonisse,1997-01-27,9999-01-01,Engineer
12108,Akeel,Frezza,1992-12-13,9999-01-01,Senior Engineer
12111,Shakhar,Oberman,1993-06-13,9999-01-01,Senior Staff
12121,Gadiel,Vendrig,1990-06-04,9999-01-01,Engineer
12124,Jingling,Schaaf,1989-07-14,9999-01-01,Senior Staff
12126,Vugranam,Parveen,1992-12-01,9999-01-01,Senior Engineer
12139,Guangming,Senzako,1994-03-07,9999-01-01,Engineer
12150,Dekang,Boissier,1991-06-25,9999-01-01,Engineer
12151,Takahiro,Sigstam,1990-04-16,9999-01-01,Senior Staff
12152,Amalendu,Nyrup,2000-08-16,9999-01-01,Senior Staff
12155,Keiichiro,Glinert,1993-09-16,9999-01-01,Engineer
12167,Hisao,Kornyak,1992-10-15,9999-01-01,Senior Staff
12169,Arnd,Broomell,1994-11-29,9999-01-01,Staff
12176,Christoper,Holburn,1994-07-05,9999-01-01,Engineer
12178,Miyeon,Chinal,1998-12-30,9999-01-01,Staff
